F1,F2,F3,F4,F5,F6,F7,F8,Output
0.4757,0.684,1,7,2,0,0,1,424.75
0.3125,0.7604,1,7,2,0,0,1,463.32
0.9931,0.5938,1,7,2,0,1,1,622.03
0.2708,0.5556,1,7,2,0,0,1,623.32
0.8507,0.4306,1,7,2,0,1,1,623.32
0.9931,0.4306,1,7,2,0,1,1,623.32
0.2708,0.5556,1,7,2,0,0,1,646.32
0.4757,0.8993,2,7,2,0,1,1,1340.03
0.7292,0.7917,0,8,0,0,0,2,126.53
0.6181,0.9375,0,8,2,0,0,2,245.1
0.2708,0.5556,1,8,2,0,0,2,398.32
0.7222,0.4306,1,8,2,0,1,2,398.32
0.8507,0.4306,1,8,2,0,1,2,398.32
0.9931,0.4306,1,8,2,0,1,2,398.32
0.2708,0.5104,1,8,2,0,0,2,401.75
0.3507,0.684,1,8,2,0,0,2,401.75
0.4583,0.684,1,8,2,0,0,2,401.75
0.8507,0.4444,1,8,2,0,1,2,405.69
0.9931,0.4444,1,8,2,0,1,2,405.69
0.6181,0.3264,1,8,2,0,1,2,416.01
0.9931,0.4306,1,8,2,0,1,2,421.32
0.4583,0.684,1,8,2,0,0,2,424.75
0.2708,0.5729,1,8,2,0,0,2,428.69
0.7674,0.4306,1,8,2,0,1,2,463.32
0.2708,0.5104,1,8,2,0,0,2,589.75
0.3125,0.8333,1,8,2,0,0,2,615.48
0.3507,0.8333,1,8,2,0,0,2,615.48
0.4583,0.8333,1,8,2,0,0,2,615.48
0.4583,0.8993,1,8,2,0,0,2,622.03
0.7292,0.3264,2,8,2,0,1,2,965.45
0.4236,0.8854,2,8,1,0,0,2,976.52
0.4236,0.5868,2,8,1,0,0,2,986.52
0.4236,0.7569,2,8,1,0,0,2,1050.52
0.4236,0.6806,2,8,2,0,0,2,1054.11
0.7292,0.9549,2,8,2,0,0,2,1104.45
0.2708,0.5556,2,8,2,0,0,2,1115.32
0.7674,0.4306,2,8,2,0,1,2,1115.32
0.8507,0.4306,2,8,2,0,1,2,1115.32
0.9931,0.4306,2,8,2,0,1,2,1115.32
0.6493,0.9549,2,8,2,0,0,2,1164.39
0.3438,0.5903,2,8,1,0,0,2,2137.09
0.7292,0.7917,0,9,0,0,0,3,126.53
0.2708,0.5556,1,9,2,0,0,3,398.32
0.7604,0.4306,1,9,2,0,1,3,398.32
0.9931,0.4306,1,9,2,0,1,3,398.32
0.2708,0.5104,1,9,2,0,0,3,401.75
0.7674,0.5104,1,9,2,0,1,3,401.75
0.9931,0.5104,1,9,2,0,1,3,401.75
0.7222,0.5729,1,9,2,0,1,3,405.69
0.8125,0.4444,1,9,2,0,1,3,405.69
0.8507,0.4444,1,9,2,0,1,3,405.69
0.9931,0.4444,1,9,2,0,1,3,405.69
0.3125,0.9722,1,9,2,0,0,3,421.32
0.8125,0.4306,1,9,2,0,1,3,463.32
0.8507,0.4306,1,9,2,0,1,3,463.32
0.7674,0.5938,1,9,2,0,1,3,573.03
0.7292,0.9722,2,9,2,0,0,3,965.45
0.4236,0.5868,2,9,1,0,0,3,976.52
0.4236,0.7569,2,9,1,0,0,3,1050.52
0.2708,0.5556,2,9,2,0,0,3,1115.32
0.9931,0.4306,2,9,2,0,1,3,1115.32
0.7292,0.7917,0,10,0,0,0,4,126.53
0.6181,0.9375,0,10,2,0,0,4,245.1
0.8507,0.4306,1,10,2,0,1,4,398.32
0.9931,0.4306,1,10,2,0,1,4,398.32
0.2708,0.5104,1,10,2,0,0,4,401.75
0.3125,0.6771,1,10,2,0,0,4,401.75
0.3854,0.6771,1,10,2,0,0,4,401.75
0.9931,0.5104,1,10,2,0,1,4,401.75
0.9931,0.4444,1,10,2,0,1,4,405.69
0.9931,0.4306,1,10,2,0,1,4,421.32
0.3854,0.684,1,10,2,0,0,4,424.75
0.2708,0.5729,1,10,2,0,0,4,428.69
0.2708,0.5556,1,10,2,0,0,4,463.32
0.7222,0.4306,1,10,2,0,1,4,463.32
0.7674,0.4306,1,10,2,0,1,4,463.32
0.2708,0.5556,1,10,2,0,0,4,486.32
0.9931,0.5938,1,10,2,0,1,4,622.03
0.7292,0.3264,2,10,2,0,1,4,965.45
0.4236,0.5868,2,10,1,0,0,4,1006.52
0.4236,0.7569,2,10,1,0,0,4,1050.52
0.2708,0.5556,2,10,2,0,1,4,1115.32
0.7674,0.4306,2,10,2,0,1,4,1115.32
0.8507,0.4306,2,10,2,0,1,4,1115.32
0.9931,0.4306,2,10,2,0,1,4,1115.32
0.5243,0.8993,2,10,2,0,0,4,1123.03
0.7292,0.7917,0,11,0,0,0,5,126.53
0.9931,0.4306,1,11,2,0,1,5,421.32
0.2708,0.5104,1,11,2,0,0,5,424.75
0.2708,0.5729,1,11,2,0,0,5,428.69
0.6181,0.9722,1,11,2,0,1,5,486.32
0.3125,0.8993,1,11,2,0,0,5,573.03
0.4757,0.7604,1,11,2,0,0,5,586.32
0.4757,0.684,1,11,2,0,0,5,589.75
0.4236,0.5868,2,11,1,0,0,5,986.52
0.4236,0.6806,2,11,2,0,0,5,1081.11
0.9931,0.816,2,11,2,0,1,5,1110.53
0.7292,0.9549,2,11,2,0,0,5,1121.45
0.3438,0.5104,2,11,1,0,0,5,1257.86
0.3438,0.5729,2,11,2,0,0,5,1319.13
0.3438,0.5868,2,11,2,0,0,5,1419.85
0.4236,0.684,2,11,2,0,0,5,1448.85
0.2708,0.5104,2,11,2,0,0,5,1470.75
0.4757,0.684,2,11,2,0,0,5,1508.75
0.3438,0.5938,2,11,2,0,0,5,1721.45
0.7292,0.7917,0,12,0,0,0,6,126.53
0.8646,0.7396,1,12,2,0,1,6,345.03
0.4757,0.8507,1,12,2,0,0,6,402.19
0.2708,0.7604,1,12,2,0,0,6,421.32
0.9931,0.4306,1,12,2,0,1,6,421.32
0.2708,0.684,1,12,2,0,0,6,424.75
0.3125,0.684,1,12,2,0,0,6,424.75
0.4757,0.684,1,12,2,0,0,6,424.75
0.2708,0.5729,1,12,2,0,0,6,428.69
0.3125,0.7396,1,12,2,0,0,6,428.69
0.4757,0.7396,1,12,2,0,0,6,428.69
0.9931,0.4444,1,12,2,0,1,6,428.69
0.3125,0.7604,1,12,2,0,0,6,486.32
0.4757,0.7604,1,12,2,0,0,6,486.32
0.4236,0.5868,2,12,1,0,0,6,951.52
0.2708,0.816,2,12,2,0,0,6,1067.53
0.3125,0.816,2,12,2,0,0,6,1067.53
0.3125,0.816,2,12,2,0,0,6,1110.53
0.4757,0.684,2,12,2,0,0,6,1508.75
0.4236,0.684,2,12,2,0,0,6,1524.85
0.4757,0.7396,2,12,2,0,0,6,1577.69
0.7292,0.7917,0,13,0,0,0,7,126.53
0.9931,0.5938,1,13,2,0,1,7,345.03
0.3438,0.8993,1,13,2,0,0,7,377.03
0.3438,0.7604,1,13,2,0,0,7,421.32
0.3438,0.5104,2,13,1,0,0,7,1257.86
0.7292,0.7917,0,14,0,0,0,1,126.53
0.2708,0.5556,1,14,2,0,0,1,421.32
0.4757,0.684,1,14,2,0,0,1,424.75
0.4236,0.5868,2,14,1,0,0,1,951.52
0.3438,0.5104,2,14,1,0,0,1,1257.86
0.7292,0.7917,0,15,0,0,0,2,126.53
0.9931,0.5938,1,15,2,0,1,2,345.03
0.4583,0.8993,1,15,2,0,0,2,377.03
0.4583,0.7604,1,15,2,0,0,2,421.32
0.2708,0.5104,1,15,2,0,0,2,424.75
0.3125,0.684,1,15,2,0,0,2,424.75
0.3507,0.684,1,15,2,0,0,2,424.75
0.4583,0.684,1,15,2,0,0,2,424.75
0.2708,0.5729,1,15,2,0,0,2,428.69
0.4583,0.9236,1,15,2,0,0,2,428.69
0.2708,0.5556,1,15,2,0,0,2,486.32
0.4236,0.5868,2,15,1,0,0,2,951.52
0.4236,0.6806,2,15,2,0,0,2,979.11
0.7292,0.9549,2,15,2,0,0,2,1012.45
0.3438,0.9549,2,15,1,0,0,2,1257.86
0.3438,0.5729,2,15,2,0,0,2,1319.13
0.3438,0.5938,2,15,2,0,0,2,1370.45
0.3438,0.5868,2,15,2,0,0,2,1384.85
0.4236,0.684,2,15,2,0,0,2,1448.85
0.2708,0.5104,2,15,2,0,0,2,1470.75
0.4583,0.684,2,15,2,0,0,2,1508.75
0.7292,0.7917,0,16,0,0,0,3,102.53
0.3125,0.8993,1,16,2,0,0,3,345.03
0.3125,0.7743,1,16,2,0,0,3,421.32
0.4757,0.684,1,16,2,0,0,3,424.75
0.4236,0.5868,1,16,1,0,0,3,951.52
0.3438,0.5104,2,16,1,0,0,3,1257.86
0.7292,0.7917,0,17,0,0,0,4,126.53
0.5243,0.8993,1,17,2,0,0,4,345.03
0.2708,0.5556,1,17,2,0,0,4,421.32
0.2708,0.5868,1,17,2,0,0,4,424.75
0.3125,0.684,1,17,2,0,0,4,424.75
0.3854,0.684,1,17,2,0,0,4,424.75
0.2708,0.5729,1,17,2,0,0,4,428.68
0.5243,0.9271,1,17,2,0,0,4,428.68
0.4236,0.5868,2,17,1,0,0,4,961.52
0.4236,0.6806,2,17,2,0,0,4,1054.11
0.7292,0.9549,2,17,2,0,0,4,1072.45
0.3438,0.5104,2,17,1,0,0,4,1257.86
0.3438,0.5729,2,17,2,0,0,4,1319.13
0.3438,0.5938,2,17,2,0,0,4,1380.45
0.3438,0.5868,2,17,2,0,0,4,1394.85
0.2708,0.5104,2,17,2,0,0,4,1470.75
0.7292,0.7917,0,18,0,0,0,5,102.53
0.9931,0.7396,1,18,2,0,1,5,345.03
0.6181,0.9722,1,18,2,0,0,5,421.32
0.2708,0.5104,1,18,2,0,0,5,424.75
0.4757,0.684,1,18,2,0,0,5,424.75
0.2708,0.5729,1,18,2,0,0,5,428.69
0.4757,0.7604,1,18,2,0,0,5,586.32
0.6181,0.9722,1,18,2,0,0,5,646.32
0.4236,0.5868,2,18,1,0,0,5,961.52
0.7292,0.9549,2,18,2,0,0,5,1024.45
0.9931,0.816,2,18,2,0,1,5,1110.53
0.3438,0.5104,2,18,1,0,0,5,1257.86
0.3438,0.5729,2,18,2,0,0,5,1319.13
0.3438,0.5868,2,18,2,0,0,5,1394.85
0.4236,0.684,2,18,2,0,0,5,1448.85
0.2708,0.5104,2,18,2,0,0,5,1470.75
0.4757,0.684,2,18,2,0,0,5,1508.78
0.3438,0.5938,2,18,2,0,0,5,1566.45
0.7292,0.7917,0,19,0,0,0,6,151.53
0.9931,0.7396,1,19,2,0,1,6,354.03
0.2708,0.7604,1,19,2,0,0,6,421.32
0.3125,0.7604,1,19,2,0,0,6,421.32
0.4757,0.7604,1,19,2,0,0,6,421.32
0.9931,0.4306,1,19,2,0,1,6,421.32
0.4757,0.816,1,19,2,0,0,6,424.75
0.2708,0.5729,1,19,2,0,0,6,428.69
0.3125,0.4757,1,19,2,0,0,6,428.69
0.4757,0.7396,1,19,2,0,0,6,428.69
0.4757,0.684,1,19,2,0,0,6,642.75
0.4236,0.5868,2,19,1,0,0,6,951.52
0.2708,0.816,2,19,2,0,0,6,1097.53
0.3125,0.816,2,19,2,0,0,6,1097.53
0.4236,0.684,2,19,2,0,0,6,1524.85
0.4757,0.7396,2,19,2,0,0,6,1577.69
0.4757,0.684,2,19,2,0,0,6,1585.75
0.7292,0.7917,0,20,0,0,0,7,126.53
0.6181,0.9375,0,20,2,0,0,7,272.1
0.3438,0.8993,1,20,2,0,0,7,345.03
0.3438,0.7604,1,20,2,0,0,7,398.32
0.8056,0.4306,1,20,2,0,1,7,398.32
0.8438,0.4306,1,20,2,0,1,7,398.32
0.8646,0.4306,1,20,2,0,1,7,398.32
0.9931,0.4306,1,20,2,0,1,7,398.32
0.2708,0.5104,1,20,2,0,0,7,401.75
0.3438,0.684,1,20,2,0,0,7,401.75
0.4757,0.684,1,20,2,0,0,7,401.75
0.2708,0.5729,1,20,2,0,0,7,405.69
0.8438,0.4444,1,20,2,0,1,7,405.69
0.8646,0.4444,1,20,2,0,1,7,405.69
0.9931,0.4444,1,20,2,0,1,7,405.69
0.6181,0.9722,1,20,2,0,0,7,421.32
0.4757,0.684,1,20,2,0,0,7,424.75
0.4757,0.7604,1,20,2,0,0,7,463.32
0.7292,0.7917,0,21,0,0,0,1,126.53
0.4757,0.8993,1,21,2,0,0,1,345.03
0.3125,0.7604,1,21,2,0,0,1,398.32
0.3542,0.7604,1,21,2,0,0,1,398.32
0.4757,0.7604,1,21,2,0,0,1,398.32
0.6563,0.9722,1,21,2,0,0,1,398.32
0.7674,0.5556,1,21,2,0,1,1,398.32
0.8507,0.4306,1,21,2,0,1,1,398.32
0.9931,0.4306,1,21,2,0,1,1,398.32
0.3542,0.684,1,21,2,0,0,1,401.75
0.4757,0.684,1,21,2,0,0,1,401.75
0.6563,0.3264,1,21,2,0,1,1,416.01
0.4757,0.7604,1,21,2,0,0,1,421.32
0.4757,0.684,1,21,2,0,0,1,424.75
0.2708,0.5556,1,21,2,0,0,1,463.32
0.2708,0.5104,1,21,2,0,0,1,566.75
0.7292,0.7917,0,22,0,0,0,2,151.53
0.6181,0.9375,0,22,2,0,0,2,220.1
0.3507,0.8993,1,22,2,0,0,2,345.03
0.2708,0.5556,1,22,2,0,0,2,398.32
0.3125,0.7604,1,22,2,0,0,2,398.32
0.3507,0.7604,1,22,2,0,0,2,398.32
0.7222,0.4306,1,22,2,0,1,2,398.32
0.7674,0.4306,1,22,2,0,1,2,398.32
0.8507,0.4306,1,22,2,0,1,2,398.32
0.9931,0.4306,1,22,2,0,1,2,398.32
0.2708,0.5104,1,22,2,0,0,2,401.75
0.8507,0.5104,1,22,2,0,1,2,401.75
0.8507,0.4444,1,22,2,0,1,2,405.69
0.9931,0.4444,1,22,2,0,1,2,405.69
0.6181,0.3264,1,22,2,0,1,2,416.01
0.6736,0.3264,1,22,2,0,1,2,416.01
0.2708,0.5556,1,22,2,0,0,2,421.32
0.2708,0.5729,1,22,2,0,0,2,428.69
0.4583,0.7604,1,22,2,0,0,2,463.32
0.3507,0.684,1,22,2,0,0,2,566.75
0.4583,0.684,1,22,2,0,0,2,566.75
0.4583,0.684,1,22,2,0,0,2,589.75
0.4236,0.5868,2,22,2,0,0,2,951.52
0.4583,0.7604,2,22,2,0,0,2,1115.2
0.2708,0.5556,2,22,1,0,0,2,1151.32
0.3125,0.7604,2,22,2,0,0,2,1151.32
0.3507,0.7604,2,22,2,0,0,2,1151.32
0.9931,0.4306,2,22,2,0,1,2,1151.32
0.7292,0.7917,0,23,0,0,0,3,126.53
0.2708,0.5556,1,23,2,0,0,3,398.32
0.3576,0.7604,1,23,2,0,0,3,398.32
0.4757,0.7604,1,23,2,0,0,3,398.32
0.7674,0.4306,1,23,2,0,1,3,398.32
0.8125,0.4306,1,23,2,0,1,3,398.32
0.8507,0.4306,1,23,2,0,1,3,398.32
0.9931,0.4306,1,23,2,0,1,3,398.32
